group, axis, value
Injuries,Nightclub,0.72
Injuries,Places of Worship,0.72
Injuries,Store/Mall,0
Injuries,Open Public Area  ,0
Injuries,Workplace,24.58
Injuries,Residential Area,11.12
Injuries,Restaurant,0
Injuries,Others,0
Injuries,School,68.91
Fatalities,Nightclub,9.36
Fatalities,Places of Worship,4.32
Fatalities,Store/Mall,0
Fatalities,Open Public Area  ,0
Fatalities,Workplace,31.76
Fatalities,Residential Area,7.48
Fatalities,Restaurant,0
Fatalities,Others,0
Fatalities,School,32.98
Total Victims,Nightclub,10.08
Total Victims,Places of Worship,5.04
Total Victims,Store/Mall,0
Total Victims,Open Public Area  ,0
Total Victims,Workplace,54.13
Total Victims,Residential Area,17.84
Total Victims,Restaurant,0
Total Victims,Others,0
Total Victims,School,98.19
