group, axis, value
Injuries,Nightclub,0
Injuries,Open Public Area  ,2.43902439
Injuries,Others,41.933172
Injuries,Store/Mall,7.792207792
Injuries,Residential Area,51.69858641
Injuries,Places of Worship,8.139534884
Injuries,Restaurant,36.89102564
Injuries,School,96.01452838
Injuries,Workplace,71.47419454
Fatalities,Nightclub,0
Fatalities,Open Public Area  ,2.43902439
Fatalities,Others,8.676470588
Fatalities,Store/Mall,15.58441558
Fatalities,Residential Area,23.65301332
Fatalities,Places of Worship,20.84078712
Fatalities,Restaurant,40.76923077
Fatalities,School,59.21634671
Fatalities,Workplace,92.58261651
Total Victims,Nightclub,0
Total Victims,Open Public Area  ,4.87804878
Total Victims,Others,50.60964259
Total Victims,Store/Mall,22.07792208
Total Victims,Residential Area,74.18880903
Total Victims,Places of Worship,27.81753131
Total Victims,Restaurant,76.37820513
Total Victims,School,149.1232424
Total Victims,Workplace,152.9974339
