group, axis, value
Injuries,Nightclub,2.173913043
Injuries,Open Public Area  ,59.2599445
Injuries,Others,10.80146118
Injuries,Store/Mall,4.347826087
Injuries,Residential Area,10.68430267
Injuries,Places of Worship,9.830387004
Injuries,Restaurant,1.063829787
Injuries,School,113.8446018
Injuries,Workplace,19.98088295
Fatalities,Nightclub,7.608695652
Fatalities,Open Public Area  ,45.61722685
Fatalities,Others,24.64193322
Fatalities,Store/Mall,9.782608696
Fatalities,Residential Area,41.88127282
Fatalities,Places of Worship,14.2259914
Fatalities,Restaurant,9.574468085
Fatalities,School,66.87278139
Fatalities,Workplace,63.82928554
Total Victims,Nightclub,9.782608696
Total Victims,Open Public Area  ,101.5921472
Total Victims,Others,33.26922448
Total Victims,Store/Mall,14.13043478
Total Victims,Residential Area,49.36264709
Total Victims,Places of Worship,21.87052078
Total Victims,Restaurant,9.574468085
Total Victims,School,179.5456996
Total Victims,Workplace,79.38740675
