group, axis, value
Injuries,Nightclub,0
Injuries,Open Public Area  ,0
Injuries,Others,0
Injuries,Store/Mall,0
Injuries,Residential Area,7.246376812
Injuries,Places of Worship,6.25
Injuries,Restaurant,0
Injuries,School,41.62782923
Injuries,Workplace,20.3125
Fatalities,Nightclub,0
Fatalities,Open Public Area  ,0
Fatalities,Others,0
Fatalities,Store/Mall,0
Fatalities,Residential Area,2.898550725
Fatalities,Places of Worship,3.125
Fatalities,Restaurant,0
Fatalities,School,20.89945529
Fatalities,Workplace,15.625
Total Victims,Nightclub,0
Total Victims,Open Public Area  ,0
Total Victims,Others,0
Total Victims,Store/Mall,0
Total Victims,Residential Area,10.14492754
Total Victims,Places of Worship,7.8125
Total Victims,Restaurant,0
Total Victims,School,62.52728453
Total Victims,Workplace,34.375
